Date,Weekday,Time,Office Hours,Brief Description,Place of Incident,Office,Site of Incident,Business Impact,Division,BU / Account affected,Line Manager,Operational Security Manager,Resolve (Hrs),Resolve (Days)
28/07/2013,TRUE,08:58,FALSE,Lost Peripheral,Office 13,TRUE,MAN33,Major,HR,HPC Wales,Kiera Lickteig  ,Mary Clowers  ,229,9.54
07/11/2013,FALSE,19:16,FALSE,Brief Descriptions,Office 16,TRUE,WAK01,Minor,MIS,Electricity Supply Board,Jacqueline Schoepp  ,Van Fessenden  ,18,0.75
27/11/2013,FALSE,14:47,TRUE,Tailgating,Office 17,TRUE,WAK01,Major,Public Sector,Scottish Water,Will Stahly  ,Raymon Currie  ,26,1.08
13/12/2014,TRUE,12:01,FALSE,Stolen Laptop,Office 13,TRUE,STE10,None,Private Sector,PZ Cussons,Marisa Anchondo  ,Damion Hope  ,230,9.58
05/06/2015,FALSE,04:19,FALSE,Unsecured Cabinet,Area 2,FALSE,BRA01,None,HMRC,Heathrow Airport Limited,Abel Liss  ,Damion Hope  ,46,1.92
13/02/2017,FALSE,14:41,TRUE,Lost Laptop,Area 9,FALSE,BSN02,Minor,N&T,Ford Motor Company ltd,Wallace Truett  ,Raul Holmquist  ,35,1.46
10/01/2014,FALSE,22:06,FALSE,Stolen Desktop,Office 10,TRUE,STE04,Minor,DNS,HPC Wales,Ursula Bradberry  ,Quinton Claudio  ,8,0.33
21/02/2017,FALSE,00:33,FALSE,Stolen Laptop,Area 1,FALSE,BSN01,None,N&T,Home Group Limited,Tanner Pecor  ,Raymon Currie  ,84,3.5
28/02/2016,TRUE,20:27,FALSE,Stolen RHD,Office 10,TRUE,WAR08,None,HMRC,British American Tobacco Plc,Adele Flower  ,Silas Wand  ,208,8.67
06/10/2013,TRUE,04:16,FALSE,Lost Laptop,Office 19,TRUE,MAN34,Minor,HR,MOD - DFTS,Juan Bernett  ,Jamal Lacross  ,112,4.67
07/04/2014,FALSE,16:15,TRUE,Staff with no pass,Office 7,TRUE,BSN02,Major,Public Sector,Police Service of Northern Ireland,Araceli Urena  ,Raymon Currie  ,241,10.04
16/01/2015,FALSE,06:56,FALSE,Suspicious Character,Office 1,TRUE,SOL10,Minor,Unknown,Reading Borough Council,Will Stahly  ,Quinton Claudio  ,141,5.88
14/12/2011,FALSE,03:01,FALSE,Stolen USB drive,Office 8,TRUE,BRA07,Minor,N&T,Highland Council,Arlena Pierpont  ,Mitch Landa  ,26,1.08
13/01/2016,FALSE,12:47,TRUE,Tailgating,Area 4,FALSE,MAN34,Minor,Public Sector,Halfords Ltd.,Len Clyburn  ,Sterling Raske  ,87,3.63
26/11/2012,FALSE,21:24,FALSE,Stolen RHD,Office 16,TRUE,CRE02,Significant,Unknown,Specsavers,Nick Carter  ,Damion Hope  ,125,5.21
09/11/2016,FALSE,19:47,FALSE,Lost Desktop,Office 13,TRUE,WAK01,Major,Finance & Strategy,High Speed 2 Ltd.,Gregory Bieber  ,Bob Luthy  ,54,2.25
02/06/2013,TRUE,13:23,FALSE,Unauthorised Access,Area 10,FALSE,BSN02,Minor,"Commercial, Legal",Scottish Water,Marisa Anchondo  ,Pasquale Sonntag  ,93,3.88
07/09/2013,TRUE,13:14,FALSE,Stolen RHD,Office 2,TRUE,EDI06,None,Private Sector,KFC,Voncile Mountain  ,Mitch Landa  ,23,0.96
10/01/2014,FALSE,03:36,FALSE,Lost RHD,Area 6,FALSE,SOL20,None,HMRC,NI Water,Voncile Mountain  ,Raymon Currie  ,115,4.79
14/02/2014,FALSE,21:14,FALSE,Lost USB drive,Office 17,TRUE,BSN01,None,N&T,Environment Agency,Chet Swedberg  ,Mitch Landa  ,120,5
26/09/2013,FALSE,06:23,FALSE,Stolen Laptop,Office 3,TRUE,SOL20,Minor,MIS,Dublin City Council,China Thurlow  ,Douglass Dill  ,91,3.79
14/10/2015,FALSE,18:18,TRUE,Lost USB drive,Office 12,TRUE,STE04,None,Marketing,HSBC,Raphael Arledge  ,Quinton Claudio  ,6,0.25
15/02/2013,FALSE,01:11,FALSE,Stolen Peripheral,Office 19,TRUE,STE04,None,HMRC,Police Service of Northern Ireland,Cecille Haubert  ,Pasquale Sonntag  ,262,10.92
10/03/2013,TRUE,04:44,FALSE,Stolen Desktop,Area 11,FALSE,MAN35,None,Business Operations,Ministry of Defence - MoD,Marlin Southwood  ,Leonardo Mcclane  ,59,2.46
28/06/2011,FALSE,13:24,TRUE,Suspicious Character,Area 1,FALSE,MAN34,Significant,Public Sector,Halfords Ltd.,Voncile Mountain  ,Pablo Gowers  ,216,9
18/11/2014,FALSE,08:06,TRUE,Lost Peripheral,Office 17,TRUE,SOL10,None,Marketing,KFC,Santina Mayr  ,Damion Hope  ,262,10.92
10/07/2013,FALSE,23:05,FALSE,Suspicious Character,Office 13,TRUE,STE10,None,DNS,Cabinet Office,Araceli Urena  ,Octavio Angert  ,80,3.33
05/12/2012,FALSE,23:32,FALSE,Unsecured Cabinet,Office 6,TRUE,MAN33,None,Business Operations,Reading Borough Council,Efrain Hauk  ,Pablo Gowers  ,142,5.92
05/09/2015,TRUE,02:54,FALSE,Stolen USB drive,Office 20,TRUE,EDI06,Significant,N&T,KFC,Chae Sather  ,Van Fessenden  ,43,1.79
20/12/2013,FALSE,08:25,TRUE,Tailgating,Area 4,FALSE,MAN33,Significant,Private Sector,Virgin Money,Danyelle Golub  ,Bob Luthy  ,128,5.33
02/06/2016,FALSE,18:52,TRUE,Lost RHD,Canteen,FALSE,SWN03,Significant,BAS,Southeastern,Jacob Carillo  ,Pasquale Sonntag  ,48,2
08/11/2013,FALSE,17:23,TRUE,Unauthorised Access,Office 18,TRUE,CRE02,Significant,N&T,McDonalds Restaurants Ltd.,Chantel Lemaire  ,Pasquale Sonntag  ,147,6.13
23/11/2008,TRUE,21:50,FALSE,Staff with no pass,Office 13,TRUE,MAN34,None,Marketing,Reading Borough Council,Edmund Dedrick  ,Jamal Lacross  ,116,4.83
12/08/2015,FALSE,12:32,TRUE,Lost USB drive,Area 12,FALSE,BSN01,Major,N&T,Vodafone Plc Government,Renato Boos  ,Mary Clowers  ,78,3.25
03/04/2014,FALSE,01:05,FALSE,Stolen USB drive,Office 17,TRUE,MAN33,Minor,N&T,Cambridgeshire County Council,Darline Goodwill  ,Octavio Angert  ,131,5.46
25/05/2014,TRUE,14:09,FALSE,Lost USB drive,Area 3,FALSE,SOL10,Major,Private Sector,Mercedes-Benz Uk Ltd.,Rodney Bastin  ,Sterling Raske  ,39,1.63
16/02/2014,TRUE,08:52,FALSE,Stolen Laptop,Area 3,FALSE,SOL10,Minor,MIS,Alliance Boots plc,Wallace Truett  ,Dewayne Robichaux  ,148,6.17
04/10/2013,FALSE,01:47,FALSE,Stolen Desktop,Office 16,TRUE,MAN35,Minor,Public Sector,NI Water,Jacqueline Schoepp  ,Raymon Currie  ,106,4.42
25/10/2013,FALSE,21:09,FALSE,Stolen Peripheral,Area 13,FALSE,SOL10,None,ROI,NI Library Authority,Danyelle Golub  ,Jamal Lacross  ,45,1.88
06/04/2013,TRUE,09:39,FALSE,Staff with no pass,Area 3,FALSE,MAN33,None,Business Operations,HSBC,Harry Hoke  ,Rueben Bosarge  ,62,2.58
28/03/2012,FALSE,11:53,TRUE,Lost Desktop,Office 15,TRUE,EDI06,None,Business Operations,Southeastern,Abel Liss  ,Bob Luthy  ,214,8.92
08/06/2015,FALSE,12:50,TRUE,Lost Laptop,Office 14,TRUE,WAK01,Minor,MIS,Electricity Supply Board,Efrain Hauk  ,Jamal Lacross  ,47,1.96
28/03/2015,TRUE,17:47,FALSE,Stolen USB drive,Office 10,TRUE,SOL10,None,Business Operations,Halfords Ltd.,Chet Swedberg  ,Octavio Angert  ,108,4.5
25/04/2013,FALSE,07:18,TRUE,Unsecured PM Document,Area 20,FALSE,SOL10,None,Private Sector,PZ Cussons,Alva Cha  ,Leonardo Mcclane  ,68,2.83
01/12/2015,FALSE,08:59,TRUE,Stolen Laptop,Area 3,FALSE,MAN34,Significant,TPG,G4S Plc,Jacob Carillo  ,Lyle Griswold  ,69,2.88
12/12/2013,FALSE,06:05,FALSE,Stolen RHD,Office 11,TRUE,WAK01,Minor,Business Operations,HPC Wales,Nick Carter  ,Rueben Bosarge  ,58,2.42
04/07/2015,TRUE,20:43,FALSE,Stolen Laptop,Area 2,FALSE,WAR03,Significant,Business Operations,NI Library Authority,Tim Pinckard  ,Raymon Currie  ,91,3.79
20/05/2015,FALSE,07:33,TRUE,Unauthorised Access,Office 18,TRUE,EDI06,Significant,BAS,Bridgestone UK,Chantel Lemaire  ,Silas Wand  ,44,1.83
30/04/2012,FALSE,16:24,TRUE,Lost Desktop,Office 16,TRUE,MAN34,None,Business Operations,Alliance Boots plc,Shila Bentler  ,Damion Hope  ,183,7.63
02/09/2015,FALSE,13:20,TRUE,Broken Window,Office 15,TRUE,BSN02,None,Public Sector,Office for National Statistics,Yasuko Manigault  ,Van Fessenden  ,114,4.75
30/09/2016,FALSE,11:31,TRUE,Unsecured PM Document,Office 5,TRUE,WAK01,None,N&T,High Speed 2 Ltd.,Voncile Mountain  ,Octavio Angert  ,21,0.88
12/06/2015,FALSE,13:25,TRUE,Lost RHD,Area 6,FALSE,EDI06,Minor,ROI,NI Library Authority,Babette Garriott  ,Mitch Landa  ,59,2.46
15/05/2013,FALSE,07:22,TRUE,Stolen USB drive,Office 12,TRUE,STE04,Minor,DNS,NI Water,Wilbur Tienda  ,Jamal Lacross  ,16,0.67
19/08/2014,FALSE,09:21,TRUE,Lost Desktop,Area 6,FALSE,STE10,Major,MIS,Office for National Statistics,Len Clyburn  ,Van Fessenden  ,42,1.75
03/10/2017,FALSE,11:01,TRUE,Unsecured Cabinet,Area 5,FALSE,MAN33,Major,HR,Balfour Beatty Group Ltd.,Marlin Southwood  ,Raul Holmquist  ,21,0.88
05/05/2014,FALSE,05:36,FALSE,Stolen Desktop,Area 1,FALSE,BSN02,Minor,Public Sector,NI Water,Danyelle Golub  ,Raymon Currie  ,149,6.21
11/11/2012,TRUE,17:02,FALSE,Lost Laptop,Office 13,TRUE,BSN01,Minor,ROI,Heathrow Airport Limited,Vivan Truelove  ,Quinton Claudio  ,107,4.46
21/11/2013,FALSE,20:56,FALSE,Tailgating,Office 10,TRUE,WAR03,None,HMRC,NI Education & Library Boards,Raphael Arledge  ,Sterling Raske  ,113,4.71
22/02/2014,TRUE,21:50,FALSE,Unsecured PM Document,Area 1,FALSE,SOL10,Major,Business Operations,NI Library Authority,Tim Pinckard  ,Damion Hope  ,84,3.5
15/10/2012,FALSE,01:38,FALSE,Lost USB drive,Office 6,TRUE,EDI06,Minor,Unknown,HSBC,Marisa Anchondo  ,Damion Hope  ,31,1.29
11/06/2009,FALSE,16:24,TRUE,Broken Window,Office 17,TRUE,LON22,None,ROI,High Speed 2 Ltd.,China Thurlow  ,Raul Holmquist  ,45,1.88
18/05/2013,TRUE,05:48,FALSE,Staff with no pass,Area 12,FALSE,SOL20,None,Other (specify),Heathrow Airport Limited,Kiera Lickteig  ,Silas Wand  ,66,2.75
01/01/2014,FALSE,13:12,TRUE,Brief Descriptions,Area 10,FALSE,Unknown,Major,HR,MOD - DFTS,Fallon Planas  ,Rueben Bosarge  ,260,10.83
08/10/2012,FALSE,01:00,FALSE,Lost RHD,Area 16,FALSE,BSN02,Minor,ROI,Scottish Water,Van Vautour  ,Damion Hope  ,16,0.67
22/08/2013,FALSE,14:21,TRUE,Stolen RHD,Office 10,TRUE,MAN33,Major,TPG,UK Border Agency,Irma Zamorano  ,Leonardo Mcclane  ,26,1.08
27/04/2013,TRUE,21:19,FALSE,Stolen Laptop,Office 5,TRUE,SOL20,Minor,HR,Southeastern,China Thurlow  ,Pablo Gowers  ,67,2.79
31/05/2015,TRUE,05:56,FALSE,Stolen Laptop,Office 10,TRUE,SOL20,Major,Unknown,Virgin Money,Wesley Kitt  ,Jamal Lacross  ,108,4.5
01/05/2015,FALSE,20:36,FALSE,Tailgating,Area 1,FALSE,BRA07,Minor,Marketing,HSBC,Irma Zamorano  ,Pablo Gowers  ,26,1.08
19/10/2015,FALSE,07:15,TRUE,Stolen RHD,Area 17,FALSE,EDI06,Minor,Business Operations,KFC,China Thurlow  ,Pablo Gowers  ,91,3.79
21/04/2015,FALSE,02:41,FALSE,Stolen Peripheral,Area 10,FALSE,BRA07,Minor,Other (specify),Office for National Statistics,Wallace Truett  ,Silas Wand  ,280,11.67
10/02/2013,TRUE,14:47,FALSE,Lost Desktop,Area 3,FALSE,EDI06,None,DNS,High Speed 2 Ltd.,China Thurlow  ,Lyle Griswold  ,239,9.96
14/11/2015,TRUE,08:35,FALSE,Unsecured Cabinet,Office 11,TRUE,SWN03,Major,DNS,Balfour Beatty Group Ltd.,Yasuko Manigault  ,Jamal Lacross  ,54,2.25
23/04/2013,FALSE,23:06,FALSE,Stolen Laptop,Area 4,FALSE,WAR03,None,N&T,Office for National Statistics,Jonathan Wray  ,Lyle Griswold  ,101,4.21
24/01/2014,FALSE,01:58,FALSE,Brief Descriptions,Office 2,TRUE,STE04,Minor,Public Sector,British American Tobacco Plc,Araceli Urena  ,Bob Luthy  ,130,5.42
12/09/2013,FALSE,14:05,TRUE,Stolen Desktop,Office 16,TRUE,STE10,None,Private Sector,Ford Motor Company ltd,Lucio Siniard  ,Pasquale Sonntag  ,330,13.75
09/04/2014,FALSE,00:14,FALSE,Stolen RHD,Office 11,TRUE,WAK01,None,MIS,Home Group Limited,Jacqueline Schoepp  ,Mary Clowers  ,222,9.25
01/05/2013,FALSE,04:48,FALSE,Suspicious Character,Office 18,TRUE,EDI06,None,Public Sector,Electricity Supply Board,Chantel Lemaire  ,Bob Luthy  ,74,3.08
08/05/2017,FALSE,00:33,FALSE,Lost Desktop,Office 17,TRUE,MAN33,Minor,Public Sector,Halfords Ltd.,Ethan Singer  ,Pasquale Sonntag  ,82,3.42
10/02/2014,FALSE,09:41,TRUE,Broken Window,Office 11,TRUE,SOL20,None,HMRC,HM Treasury,Darline Goodwill  ,Octavio Angert  ,43,1.79
13/05/2015,FALSE,17:55,TRUE,Lost Desktop,Office 10,TRUE,LON22,None,TPG,Scottish Water,Efrain Hauk  ,Mitch Landa  ,119,4.96
25/06/2014,FALSE,14:41,TRUE,Broken Window,Area 8,FALSE,Unknown,None,HMRC,UK Border Agency,Marlin Southwood  ,Silas Wand  ,38,1.58
02/03/2016,FALSE,12:26,TRUE,Stolen USB drive,Area 2,FALSE,SOL10,Minor,Public Sector,Environment Agency,Marlin Southwood  ,Bob Luthy  ,55,2.29
28/01/2013,FALSE,06:15,FALSE,Stolen Desktop,Area 7,FALSE,WAK01,Major,Public Sector,Whitbread Group Plc,Voncile Mountain  ,Raul Holmquist  ,164,6.83
03/04/2014,FALSE,19:52,FALSE,Lost Laptop,Area 4,FALSE,WAK01,Significant,HR,Mercedes-Benz Uk Ltd.,Suzan Bogert  ,Damion Hope  ,58,2.42
07/10/2012,TRUE,01:45,FALSE,Lost USB drive,Office 4,TRUE,SOL10,Significant,Other (specify),Whitbread Group Plc,Arlena Pierpont  ,Pasquale Sonntag  ,82,3.42
11/03/2014,FALSE,21:45,FALSE,Stolen Desktop,Office 18,TRUE,SOL10,None,MIS,NI Education & Library Boards,Renato Boos  ,Dewayne Robichaux  ,158,6.58
27/06/2012,FALSE,23:13,FALSE,Unsecured PM Document,Office 18,TRUE,SOL20,Significant,Marketing,Heathrow Airport Limited,Marlin Southwood  ,Dewayne Robichaux  ,43,1.79
28/08/2013,FALSE,02:51,FALSE,Suspicious Character,Unknown,FALSE,LON22,Significant,ROI,Office for National Statistics,Suzan Bogert  ,Bob Luthy  ,84,3.5
25/05/2014,TRUE,15:49,FALSE,Stolen Desktop,Office 16,TRUE,MAN34,None,HR,G4S Plc,Bret Orosz  ,Raymon Currie  ,121,5.04
05/11/2013,FALSE,19:26,FALSE,Lost Laptop,Office 3,TRUE,LON22,Minor,ROI,Specsavers,Efrain Hauk  ,Silas Wand  ,132,5.5
03/08/2014,TRUE,05:25,FALSE,Suspicious Character,Office 13,TRUE,MAN34,Major,Private Sector,Mercedes-Benz Uk Ltd.,Vivan Truelove  ,Silas Wand  ,48,2
17/06/2014,FALSE,07:43,TRUE,Brief Descriptions,Office 13,TRUE,STE10,Major,HMRC,Highland Council,Chae Sather  ,Pablo Gowers  ,41,1.71
09/04/2014,FALSE,16:55,TRUE,Brief Descriptions,Office 14,TRUE,SOL20,None,HR,Environment Agency,Raphael Arledge  ,Pasquale Sonntag  ,184,7.67
09/05/2015,TRUE,03:46,FALSE,Stolen Laptop,Area 13,FALSE,WAK01,None,Private Sector,Home Group Limited,Van Vautour  ,Pasquale Sonntag  ,168,7
30/06/2014,FALSE,19:22,FALSE,Stolen Desktop,Office 13,TRUE,BSN01,Minor,Private Sector,NI Library Authority,Babette Garriott  ,Raul Holmquist  ,29,1.21
06/08/2014,FALSE,12:24,TRUE,Stolen Laptop,Office 16,TRUE,SWN03,Major,Finance & Strategy,UK Border Agency,Alva Cha  ,Douglass Dill  ,121,5.04
23/05/2014,FALSE,13:35,TRUE,Lost Laptop,Area 2,FALSE,SOL10,Major,Public Sector,Home Group Limited,Adele Flower  ,Rueben Bosarge  ,31,1.29
14/01/2013,FALSE,02:55,FALSE,Lost Peripheral,Area 17,FALSE,STE04,Significant,Private Sector,High Speed 2 Ltd.,Kiera Lickteig  ,Pablo Gowers  ,215,8.96
13/02/2016,TRUE,23:41,FALSE,Unsecured Cabinet,Area 1,FALSE,STE04,None,HMRC,Mercedes-Benz Uk Ltd.,Babette Garriott  ,Raymon Currie  ,132,5.5
21/10/2013,FALSE,09:30,TRUE,Stolen USB drive,Office 18,TRUE,MAN33,Major,HR,British American Tobacco Plc,Felicidad Vose  ,Damion Hope  ,43,1.79
30/05/2014,FALSE,07:29,TRUE,Stolen Peripheral,Office 11,TRUE,SOL20,Significant,BAS,Southeastern,Gregory Bieber  ,Jamal Lacross  ,56,2.33
12/08/2013,FALSE,03:37,FALSE,Stolen USB drive,Office 14,TRUE,BSN01,Minor,DNS,Alliance Boots plc,Efrain Hauk  ,Sterling Raske  ,66,2.75
06/11/2013,FALSE,08:00,TRUE,Lost USB drive,Office 5,TRUE,SOL20,Minor,DNS,Reading Borough Council,Cecille Haubert  ,Raul Holmquist  ,122,5.08
13/03/2014,FALSE,19:26,FALSE,Stolen Desktop,Office 6,TRUE,WAR08,Significant,MIS,PZ Cussons,Deidra Mayes  ,Mitch Landa  ,54,2.25
28/05/2012,FALSE,21:07,FALSE,Lost Laptop,Office 20,TRUE,MAN34,None,Unknown,Highland Council,Edmund Dedrick  ,Bob Luthy  ,112,4.67
24/05/2013,FALSE,08:12,TRUE,Stolen Laptop,Area 6,FALSE,TEL15,Major,MIS,Balfour Beatty Group Ltd.,Jonathan Wray  ,Foster Wax  ,229,9.54
29/03/2014,TRUE,10:51,FALSE,Lost USB drive,Reception,FALSE,SWN03,Minor,Private Sector,Scottish Water,Cecille Haubert  ,Douglass Dill  ,28,1.17
25/09/2014,FALSE,18:51,TRUE,Stolen Peripheral,Office 14,TRUE,BSN01,None,Public Sector,Reading Borough Council,Juan Bernett  ,Pablo Gowers  ,6,0.25
13/06/2015,TRUE,15:34,FALSE,Stolen RHD,Office 10,TRUE,BRA01,Major,N&T,MOD - DFTS,Irma Zamorano  ,Pasquale Sonntag  ,163,6.79
26/12/2015,TRUE,00:24,FALSE,Stolen Peripheral,Area 4,FALSE,STE04,Major,N&T,UK Border Agency,Rodney Bastin  ,Silas Wand  ,52,2.17
26/08/2014,FALSE,04:57,FALSE,Unsecured PM Document,Office 6,TRUE,BSN02,Major,"Commercial, Legal",HSBC,Cecil Royse  ,Leonardo Mcclane  ,8,0.33
28/01/2015,FALSE,02:20,FALSE,Lost Desktop,Office 15,TRUE,MAN33,Minor,MIS,PZ Cussons,Irma Zamorano  ,Pasquale Sonntag  ,50,2.08
20/02/2013,FALSE,23:47,FALSE,Stolen USB drive,Office 10,TRUE,WAK01,Significant,TPG,KFC,Tim Pinckard  ,Douglass Dill  ,124,5.17
08/09/2011,FALSE,00:46,FALSE,Stolen USB drive,Area 13,FALSE,MAN33,Minor,Finance & Strategy,HSBC,Wallace Truett  ,Douglass Dill  ,68,2.83
08/02/2015,TRUE,04:28,FALSE,Lost USB drive,Area 3,FALSE,WAR03,Major,N&T,Heathrow Airport Limited,Will Stahly  ,Foster Wax  ,79,3.29
30/04/2012,FALSE,13:12,TRUE,Unsecured Cabinet,Office 18,TRUE,EDI06,Major,HR,Bridgestone UK,Elenore Pentz  ,Silas Wand  ,55,2.29
26/10/2015,FALSE,05:42,FALSE,Tailgating,Area 1,FALSE,SOL20,None,Private Sector,Dublin City Council,Chae Sather  ,Van Fessenden  ,124,5.17
11/07/2016,FALSE,05:56,FALSE,Stolen Laptop,Office 6,TRUE,SOL20,Minor,Public Sector,Ministry of Defence - MoD,Ethan Singer  ,Mary Clowers  ,10,0.42
26/05/2014,FALSE,11:10,TRUE,Stolen USB drive,Office 8,TRUE,MAN33,None,Business Operations,Balfour Beatty Group Ltd.,Stanley Bosch  ,Leonardo Mcclane  ,104,4.33
10/10/2015,TRUE,17:56,FALSE,Stolen USB drive,Area 13,FALSE,EDI06,None,Unknown,Heathrow Airport Limited,Vance Mcmanis  ,Lyle Griswold  ,20,0.83
19/06/2012,FALSE,11:46,TRUE,Stolen Peripheral,Area 14,FALSE,WAR03,None,Private Sector,Ford Motor Company ltd,Jacob Carillo  ,Silas Wand  ,115,4.79
18/03/2013,FALSE,14:05,TRUE,Staff with no pass,Office 4,TRUE,WAK01,Minor,MIS,Halfords Ltd.,Felicidad Vose  ,Sterling Raske  ,9,0.38
03/06/2015,FALSE,01:15,FALSE,Lost Desktop,Area 17,FALSE,SOL20,Major,MIS,Alliance Boots plc,Renato Boos  ,Pasquale Sonntag  ,155,6.46
18/03/2013,FALSE,07:41,TRUE,Tailgating,Office 13,TRUE,SOL20,None,HMRC,McDonalds Restaurants Ltd.,Candra Snowball  ,Dewayne Robichaux  ,100,4.17
18/08/2013,TRUE,13:17,FALSE,Stolen RHD,Area 2,FALSE,MAN33,None,Public Sector,NI Water,Jacob Carillo  ,Foster Wax  ,92,3.83
30/10/2015,FALSE,20:20,FALSE,Stolen USB drive,Area 1,FALSE,CRE02,Significant,Private Sector,Halfords Ltd.,Ethan Singer  ,Bob Luthy  ,131,5.46
02/07/2015,FALSE,10:57,TRUE,Lost RHD,Area 13,FALSE,WAK01,Major,N&T,Office for National Statistics,Cher Welter  ,Quinton Claudio  ,262,10.92
11/02/2014,FALSE,18:41,TRUE,Lost RHD,Unknown,FALSE,EDI06,Minor,HMRC,Halfords Ltd.,Nick Carter  ,Quinton Claudio  ,30,1.25
31/03/2014,FALSE,03:06,FALSE,Stolen Peripheral,Office 18,TRUE,CRE02,None,N&T,Whitbread Group Plc,Van Vautour  ,Quinton Claudio  ,156,6.5
12/11/2013,FALSE,03:49,FALSE,Stolen Laptop,Area 9,FALSE,WAR03,Minor,HR,Heathrow Airport Limited,Deidra Mayes  ,Rueben Bosarge  ,93,3.88
03/02/2013,TRUE,01:06,FALSE,Unsecured Cabinet,Area 7,FALSE,WAK01,Significant,Other (specify),Highland Council,Julius Huntsberry  ,Pasquale Sonntag  ,56,2.33
22/04/2012,TRUE,11:26,FALSE,Broken Window,Office 6,TRUE,TEL15,Significant,ROI,NI Education & Library Boards,Renato Boos  ,Van Fessenden  ,219,9.13
05/02/2015,FALSE,20:03,FALSE,Unsecured Cabinet,Area 6,FALSE,BSN02,Minor,N&T,Home Group Limited,Ursula Bradberry  ,Mitch Landa  ,89,3.71
14/06/2015,TRUE,09:32,FALSE,Stolen Desktop,Office 15,TRUE,STE04,None,HMRC,PZ Cussons,Chae Sather  ,Rueben Bosarge  ,63,2.63
07/06/2014,TRUE,18:18,FALSE,Lost Laptop,Office 5,TRUE,STE10,Minor,N&T,McDonalds Restaurants Ltd.,Marlin Southwood  ,Van Fessenden  ,138,5.75
08/08/2015,TRUE,02:01,FALSE,Stolen RHD,Area 5,FALSE,BSN01,Major,Public Sector,Southeastern,Van Vautour  ,Octavio Angert  ,38,1.58
30/09/2013,FALSE,01:46,FALSE,Stolen Peripheral,Office 3,TRUE,MAN33,Minor,ROI,Vodafone Plc Government,Harry Hoke  ,Lyle Griswold  ,104,4.33
19/09/2014,FALSE,21:45,FALSE,Stolen Desktop,Office 2,TRUE,BRA01,Significant,Public Sector,KFC,Elenore Pentz  ,Leonardo Mcclane  ,94,3.92
08/03/2013,FALSE,15:55,TRUE,Stolen Peripheral,Office 20,TRUE,BSN01,Significant,Business Operations,Scottish Water,Harry Hoke  ,Jamal Lacross  ,207,8.63
26/06/2014,FALSE,20:02,FALSE,Staff with no pass,Office 16,TRUE,STE04,Significant,N&T,Ministry of Defence - MoD,Gregory Bieber  ,Douglass Dill  ,117,4.88
19/03/2012,FALSE,10:35,TRUE,Stolen Laptop,Office 10,TRUE,BSN01,None,HMRC,British American Tobacco Plc,Yasuko Manigault  ,Sterling Raske  ,93,3.88
08/01/2014,FALSE,10:13,TRUE,Stolen RHD,Office 16,TRUE,BSN02,None,DNS,G4S Plc,Cecille Haubert  ,Damion Hope  ,188,7.83
15/05/2015,FALSE,02:30,FALSE,Stolen Laptop,Area 4,FALSE,SOL20,Minor,N&T,Bridgestone UK,Cher Welter  ,Van Fessenden  ,153,6.38
20/10/2015,FALSE,06:41,FALSE,Stolen Laptop,Office 10,TRUE,CRE02,Significant,Private Sector,Police Service of Northern Ireland,China Thurlow  ,Rueben Bosarge  ,115,4.79
29/05/2014,FALSE,03:05,FALSE,Stolen Desktop,Office 19,TRUE,WAK01,Significant,N&T,HM Treasury,Nick Carter  ,Bob Luthy  ,134,5.58
04/06/2012,FALSE,04:29,FALSE,Unauthorised Access,Office 13,TRUE,WAR08,Minor,N&T,Cabinet Office,Abel Liss  ,Lyle Griswold  ,89,3.71
30/06/2015,FALSE,18:33,TRUE,Lost Peripheral,Office 8,TRUE,SOL10,Minor,Private Sector,Home Group Limited,Edmund Dedrick  ,Foster Wax  ,98,4.08
06/11/2013,FALSE,15:52,TRUE,Stolen RHD,Area 3,FALSE,MAN33,Major,MIS,Heathrow Airport Limited,Kiera Lickteig  ,Jamal Lacross  ,93,3.88
12/11/2016,TRUE,01:50,FALSE,Lost Desktop,Area 6,FALSE,SOL20,Major,Marketing,NI Education & Library Boards,Santina Mayr  ,Octavio Angert  ,132,5.5
13/06/2015,TRUE,06:46,FALSE,Lost RHD,Office 7,TRUE,BRA07,None,MIS,Office for National Statistics,Suzan Bogert  ,Octavio Angert  ,83,3.46
06/05/2016,FALSE,10:13,TRUE,Stolen Desktop,Office 20,TRUE,EDI06,Minor,HMRC,Electricity Supply Board,Efrain Hauk  ,Silas Wand  ,124,5.17
22/03/2017,FALSE,08:03,TRUE,Brief Descriptions,Area 2,FALSE,MAN33,None,ROI,High Speed 2 Ltd.,Babette Garriott  ,Mary Clowers  ,23,0.96
18/01/2014,TRUE,03:15,FALSE,Tailgating,Office 11,TRUE,BRA07,Minor,DNS,Primark,Jacqueline Schoepp  ,Rueben Bosarge  ,93,3.88
02/01/2013,FALSE,04:18,FALSE,Stolen USB drive,Area 4,FALSE,WAR08,Significant,HR,Post Office Ltd,Alva Cha  ,Dewayne Robichaux  ,35,1.46
10/02/2015,FALSE,01:19,FALSE,Stolen USB drive,Office 12,TRUE,SOL10,Significant,N&T,PZ Cussons,Juan Bernett  ,Bob Luthy  ,70,2.92
24/11/2014,FALSE,23:00,FALSE,Lost Laptop,Area 2,FALSE,MAN33,Significant,HR,Cabinet Office,Adele Flower  ,Quinton Claudio  ,70,2.92
